ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10224738,HY411648,9/5/2015 13:30,043XX S WOOD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,924,9,12,61,08B,1165074,1875917,2015,2/10/2018 15:50,41.81511728,-87.66999956,"(41.815117282, -87.669999562)"
10224739,HY411615,9/4/2015 11:30,008XX N CENTRAL AVE,870,THEFT,POCKET-PICKING,CTA BUS,FALSE,FALSE,1511,15,29,25,6,1138875,1904869,2015,2/10/2018 15:50,41.89508047,-87.76540045,"(41.895080471, -87.765400451)"
11646166,JC213529,9/1/2018 0:01,082XX S INGLESIDE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,TRUE,631,6,8,44,6,,,2018,4/6/2019 16:04,,,
10224740,HY411595,9/5/2015 12:45,035XX W BARRY AVE,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),SIDEWALK,TRUE,FALSE,1412,14,35,21,18,1152037,1920384,2015,2/10/2018 15:50,41.93740577,-87.71664969,"(41.937405765, -87.716649687)"
10224741,HY411610,9/5/2015 13:00,0000X N LARAMIE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1522,15,28,25,08A,1141706,1900086,2015,2/10/2018 15:50,41.88190344,-87.75512115,"(41.881903443, -87.755121152)"
10224742,HY411435,9/5/2015 10:55,082XX S LOOMIS BLVD,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,614,6,21,71,5,1168430,1850165,2015,2/10/2018 15:50,41.74437888,-87.65843064,"(41.744378879, -87.658430635)"
10224743,HY411629,9/4/2015 18:00,021XX W CHURCHILL ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1434,14,32,24,5,1161628,1912157,2015,2/10/2018 15:50,41.9146356,-87.68163091,"(41.914635603, -87.681630909)"
10224744,HY411605,9/5/2015 13:00,025XX W CERMAK RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1034,10,25,31,6,1159734,1889313,2015,9/17/2015 11:37,41.85198889,-87.68921912,"(41.851988885, -87.689219118)"
10224745,HY411654,9/5/2015 11:30,031XX W WASHINGTON BLVD,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,TRUE,1222,12,27,27,3,1155536,1900515,2015,2/10/2018 15:50,41.88281374,-87.70432572,"(41.88281374, -87.704325717)"
11645836,JC212333,5/1/2016 0:25,055XX S ROCKWELL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,824,8,15,63,11,,,2016,4/6/2019 16:04,,,
10224746,HY411662,9/5/2015 14:00,071XX S PULASKI RD,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,833,8,13,65,6,1150938,1857056,2015,2/10/2018 15:50,41.76364755,-87.72234469,"(41.763647552, -87.722344693)"
10224749,HY411626,9/5/2015 11:00,052XX N MILWAUKEE AVE,460,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,1623,16,45,11,08B,1137969,1934340,2015,2/10/2018 15:50,41.97596842,-87.76801426,"(41.975968415, -87.768014257)"
10224750,HY411632,9/5/2015 3:00,0000X W 103RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,512,5,34,49,26,1177871,1836676,2015,2/10/2018 15:50,41.70715492,-87.62424499,"(41.707154919, -87.624244993)"
10224751,HY411566,9/5/2015 12:50,013XX E 47TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,222,2,4,39,08B,1185907,1874105,2015,2/10/2018 15:50,41.80967831,-87.59363893,"(41.809678314, -87.593638934)"
10224752,HY411601,9/3/2015 13:00,020XX W SCHILLER ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,14,1,24,6,1162574,1909428,2015,2/10/2018 15:50,41.90712726,-87.67823202,"(41.907127255, -87.678232016)"
10224753,HY411489,9/5/2015 11:45,080XX S JUSTINE ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,FALSE,FALSE,612,6,21,71,04B,1167400,1851512,2015,2/10/2018 15:50,41.74809734,-87.66216618,"(41.748097343, -87.662166183)"
10224754,HY411656,9/5/2015 13:30,007XX N LEAMINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1531,15,28,25,14,1141889,1904448,2015,2/10/2018 15:50,41.89386992,-87.7543411,"(41.893869916, -87.754341096)"
10224756,HY410094,7/8/2015 0:00,103XX S TORRENCE AVE,620,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,434,4,10,51,5,1195508,1836950,2015,2/10/2018 15:50,41.70749012,-87.55965033,"(41.707490122, -87.559650325)"
10224757,HY411388,9/5/2015 9:55,088XX S PAULINA ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,TRUE,FALSE,2221,22,21,71,5,1166554,1846067,2015,2/10/2018 15:50,41.73317354,-87.66542107,"(41.733173536, -87.665421067)"
10224758,HY411568,9/5/2015 12:35,059XX W GRACE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1633,16,38,15,08B,1136014,1924656,2015,2/10/2018 15:50,41.94942977,-87.77543553,"(41.949429769, -87.775435529)"
10224759,HY411581,9/4/2015 22:30,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839027,2015,2/10/2018 15:50,41.71303179,-87.53648781,"(41.713031786, -87.536487809)"
10224761,HY411650,9/2/2015 0:01,049XX W WINNEMAC AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,1623,16,45,12,14,1142583,1933126,2015,2/10/2018 15:50,41.9725523,-87.75107693,"(41.972552295, -87.751076926)"
10224762,HY411563,9/4/2015 15:00,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839027,2015,2/10/2018 15:50,41.71303179,-87.53648781,"(41.713031786, -87.536487809)"
10224763,HY411606,9/5/2015 13:45,020XX E 71ST ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,331,3,5,43,3,1190856,1858321,2015,2/10/2018 15:50,41.7662476,-87.57599706,"(41.766247597, -87.575997062)"
10224764,HY411550,9/3/2015 21:00,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839062,2015,2/10/2018 15:50,41.71312783,-87.53648662,"(41.713127829, -87.536486623)"
10224765,HY411328,9/5/2015 8:45,077XX S SOUTH SHORE DR,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,421,4,7,43,08A,1197240,1854764,2015,2/10/2018 15:50,41.75633032,-87.5527162,"(41.756330319, -87.552716204)"
10224766,HY411198,9/5/2015 6:20,075XX S PHILLIPS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,421,4,7,43,08B,1193840,1855495,2015,2/10/2018 15:50,41.75842022,-87.56515234,"(41.758420222, -87.565152335)"
10224767,HY410417,9/4/2015 16:15,079XX S SAGINAW AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,422,4,7,46,3,1195224,1852934,2015,2/10/2018 15:50,41.75135862,-87.56016455,"(41.75135862, -87.560164545)"
10224768,HY410651,9/3/2015 20:30,078XX S ESCANABA AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,421,4,7,43,6,1196887,1853400,2015,2/10/2018 15:50,41.75259619,-87.55405513,"(41.752596188, -87.554055126)"
10224769,HY411672,9/5/2015 14:30,005XX S STATE ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,123,1,2,32,6,1176446,1897964,2015,2/10/2018 15:50,41.87536742,-87.62762099,"(41.875367424, -87.627620993)"
10224770,HY411586,9/5/2015 12:40,005XX W 61ST PL,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,711,7,20,68,04B,1173653,1864134,2015,2/10/2018 15:50,41.78259748,-87.63887977,"(41.782597483, -87.638879769)"
10224772,HY411681,9/4/2015 23:00,011XX N ASHLAND AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1213,12,1,24,6,1165522,1907528,2015,2/10/2018 15:50,41.90185123,-87.66745695,"(41.901851233, -87.667456951)"
10224773,HY411685,9/5/2015 7:00,029XX W FIFTH AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1124,11,2,27,5,1156926,1899592,2015,2/10/2018 15:50,41.88025287,-87.69924661,"(41.880252868, -87.69924661)"
10224775,HY411666,9/5/2015 9:00,068XX S KEATING AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,833,8,13,65,26,1146015,1859113,2015,9/17/2015 11:37,41.76938686,-87.74033684,"(41.769386857, -87.740336842)"
10224776,HY411687,9/5/2015 14:45,071XX S PULASKI RD,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,833,8,13,65,6,1150938,1857056,2015,2/10/2018 15:50,41.76364755,-87.72234469,"(41.763647552, -87.722344693)"
10224778,HY411675,9/5/2015 14:44,047XX N KEELER AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,1722,17,39,14,08A,1147525,1931300,2015,2/10/2018 15:50,41.96744801,-87.73295114,"(41.967448012, -87.732951137)"
10224779,HY411651,9/2/2015 12:00,076XX S PHILLIPS AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,421,4,7,43,26,1193859,1854719,2015,2/10/2018 15:50,41.75629035,-87.5651081,"(41.756290353, -87.565108099)"
10224780,HY411660,9/5/2015 14:30,016XX S HARDING AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,TRUE,FALSE,1014,10,24,29,26,1150326,1891507,2015,2/10/2018 15:50,41.85819795,-87.72369208,"(41.858197949, -87.723692079)"
10224781,HY411499,9/5/2015 11:20,026XX W HOLLYWOOD AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,2011,20,40,2,3,1157555,1937753,2015,2/10/2018 15:50,41.98495658,-87.69589518,"(41.984956576, -87.69589518)"
10224782,HY411661,9/5/2015 14:35,068XX S PERRY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,722,7,6,69,18,1176575,1859730,2015,2/10/2018 15:50,41.77044718,-87.62829929,"(41.770447177, -87.628299291)"
10224783,HY411679,9/5/2015 14:40,041XX W CRYSTAL ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,TRUE,FALSE,2534,25,37,23,15,1148654,1908016,2015,2/10/2018 15:50,41.90353292,-87.72940299,"(41.903532921, -87.729402988)"
10224784,HY411422,9/4/2015 19:30,004XX W MARQUETTE RD,810,THEFT,OVER $500,OTHER,FALSE,FALSE,722,7,6,68,6,1174441,1860502,2015,2/10/2018 15:50,41.77261337,-87.63609871,"(41.772613371, -87.636098706)"
10224786,HY411514,9/5/2015 12:04,062XX S PRINCETON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,711,7,20,68,14,1175356,1863632,2015,2/10/2018 15:50,41.78118203,-87.6326511,"(41.781182029, -87.632651097)"
